type,authors_full,date,title,short_title,venue_abbrev,venue,prof_venue,award,url,pdf,materials,ebook,blog,video,full_talk_embed,teaser_video,bibtex,short_cv,professional_2_page,featured,image,project
preprint (book chapter),"Alan F.T. Winfield, Katie Winkle, Helena Webb, Ulrik Lyngs, Marina Jirotka, Carl Macrae",2020-03-01,Robot Accident Investigation: a case study in Responsible Robotics,,Springer,arXiv preprint arXiv:2005.07474,,,,https://arxiv.org/pdf/2005.07474.pdf,,,,,,,,,,,,
conference proceedings,"Kai Lukoff, Ulrik Lyngs, Stefania Gueorguieva, Erika S. Dillman, Alexis Hiniker, Sean A. Munson",2020-07-06,From Ancient Contemplative Practice to the App Store: Designing a Digital Container for Mindfulness,From Ancient Contemplative Practice to the App Store,DIS'20,Proceedings of the 2020 ACM conference on Designing Interactive Systems,Proceedings of the 2020 ACM conference on Designing Interactive Systems,,,http://www.smunson.com/portfolio/projects/lukoff_Mindfulness_DIS2020.pdf,https://osf.io/b9jwu,,,,,,,,,,,
workshop paper,"Ulrik Lyngs, Maureen Freed, Kai Lukoff, Petr Slovak, Max Van Kleek",2020-04-25,The ReDD Workshop: A Template for Supporting People in Regaining Control Over Digital Device Use,The ReDD Workshop,CHI'20 workshop,"*Rethinking Mental Health Resources*, Workshop at the 2020 ACM CHI Conference on Human Factors in Computing Systems",,,,/pdfs/2020-02-20_Lyngs_CHI2020_workshop_rethinking_mental_health.pdf,https://osf.io/hdvtm/,,,,,,,,,,,redd-workshop
conference proceedings,"Martin Kraemer, Ulrik Lyngs, Helena Webb, Ivan Flechais",2020-04-24,Further Exploring Communal Technology Use in Smart Homes: Social Expectations,Communal Technology Use in Smart Homes,CHI'20 EA,Proceedings of the 2020 CHI Conference Extended Abstracts on Human Factors in Computing Systems,Proceedings of the 2018 CHI Conference Extended Abstracts on Human Factors in Computing Systems,,,https://arxiv.org/pdf/2003.04661.pdf,,,,,,,,,,,,
conference proceedings,"Katie Winkle, Marina Jirotka, Ulrik Lyngs, Carl Macrae, Helena Webb, Alan Winfield",2020-02-01,“What Could Possibly Go Wrong?” Logging HRI Data for Robot Accident Investigations,,HRI’20 Companion,Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,,,https://dl.acm.org/doi/abs/10.1145/3371382.3378296,https://dl.acm.org/doi/pdf/10.1145/3371382.3378296,,,,,,,,,,,,
conference proceedings,"Ulrik Lyngs, Kai Lukoff, Petr Slovak, William Seymour, Helena Webb, Marina Jirotka, Jun Zhao, Max Van Kleek, Nigel Shadbolt",2020-04-26,‘I Just Want to Hack Myself to Not Get Distracted’: Evaluating Design Interventions for Self-Control on Facebook,Evaluating Design Interventions for Self-Control on Facebook,CHI'20,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,https://dl.acm.org/doi/abs/10.1145/3313831.3376672,https://arxiv.org/pdf/2001.04180.pdf,https://osf.io/qtg7h/,,,https://youtu.be/bsBpGkPV83w,https://www.youtube.com/embed/bsBpGkPV83w,https://www.youtube.com/embed/zj9I-2gjths,,y,y,y,,digital-self-control
conference proceedings,"Ulrik Lyngs, Kai Lukoff, Petr Slovak, Reuben Binns, Adam Slack, Michael Inzlicht, Max Van Kleek, Nigel Shadbolt",2019-05-07,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,Applying Dual Systems Theory to Digital Self-Control Tools,CHI'19,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,Honourable Mention,https://dl.acm.org/doi/10.1145/3290605.3300361,https://arxiv.org/pdf/1902.00157.pdf,https://osf.io/ed3wh/,https://ulyngs.github.io/cog-design-space-ict-self-control/,https://ulriklyngs.com/post/2019/04/30/367-tools-of-resistance-in-the-battle-for-online-attention/,https://www.youtube.com/watch?v=sJf_F7faczU,https://www.youtube.com/embed/sJf_F7faczU,https://www.youtube.com/embed/kf-TwEo954s,,y,y,y,feature_plot.png,digital-self-control
conference proceedings,"Reuben Binns, Ulrik Lyngs, Max van Kleek, Jun Zhao, Timothy Libert, Nigel Shadbolt",2018-05-27,Third party tracking in the mobile ecosystem,,WebSci'18,Proceedings of the 10th International ACM Web Science Conference 2018,Proceedings of the 2018 ACM Web Science Conference,Best Paper,https://dl.acm.org/citation.cfm?doid=3201064.3201089,https://arxiv.org/pdf/1804.03603.pdf,https://osf.io/4nu9e/,,,,,,,y,y,y,desat_matrix.jpg,
conference proceedings,"Ulrik Lyngs, Reuben Binns, Max van Kleek, Nigel Shadbolt",2018-04-25,"So, Tell Me What Users Want, What They Really, Really Want!",,CHI'18 EA (alt.chi),Proceedings of the 2018 CHI Conference Extended Abstracts (alt.chi) on Human Factors in Computing Systems,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,,https://dl.acm.org/doi/10.1145/3170427.3188397,https://arxiv.org/pdf/1803.02065.pdf,https://osf.io/5v8ua/,,,,,,,y,y,,,digital-self-control
conference proceedings,"Reuben Binns, Max van Kleek, Michael Veale, Ulrik Lyngs, Jun Zhao, Nigel Shadbolt",2018-04-22,It's Reducing a Human Being to a Percentage': Perceptions of Justice in Algorithmic Decisions,,CHI'18,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,,https://dl.acm.org/citation.cfm?id=3173951,https://arxiv.org/pdf/1801.10408.pdf,,,,https://www.youtube.com/watch?v=m9YzuNI7uOc,,,,y,y,,,
